new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand
2,1,1,0.054,0.001,0.001,0.001,6500,,0.005,,,
8,2,1,0.06,0.006,0.001,0.001,,,,,,
7,2,0,0.065,0.005,0.001,0,,,,,,
3,2,0,0.067,0.002,0.001,0,,,,,,
32,3,1,0.091,0.023,0.002,0.001,,,,,,
12,3,0,0.099,0.009,0.002,0,13125,,0.01,,,
28,3,0,0.12,0.02,0.002,0,13316,191,0.01,0,,
26,4,1,0.138,0.019,0.003,0.001,14376,1060,0.01,0.001,1125,0.001
40,4,0,0.167,0.029,0.003,0,15701,1325,0.011,0.001,1125,0.001
89,4,0,0.232,0.064,0.003,0,16999,1298,0.012,0.001,1121,0.001
119,7,3,0.318,0.086,0.005,0.002,20707,3708,0.015,0.003,1462,0.001
53,9,2,0.357,0.038,0.007,0.001,20864,157,0.015,0,1295,0.001
70,9,0,0.407,0.051,0.007,0,25144,4280,0.018,0.003,1717,0.001
87,13,4,0.47,0.063,0.009,0.003,,,,,1871,0.001
75,17,4,0.525,0.054,0.012,0.003,27688,,0.02,,1902,0.001
149,19,2,0.633,0.108,0.014,0.001,,,,,2195,0.002
106,25,6,0.709,0.077,0.018,0.004,,,,,2492,0.002
92,29,4,0.776,0.067,0.021,0.003,,,,,2445,0.002
180,32,3,0.907,0.13,0.023,0.002,,,,,2905,0.002
146,35,3,1.012,0.106,0.025,0.002,,,,,2776,0.002
568,50,15,1.424,0.412,0.036,0.011,47951,,0.035,,3076,0.002
336,56,6,1.667,0.243,0.041,0.004,69245,21294,0.05,0.015,5937,0.004
601,68,12,2.103,0.436,0.049,0.009,79950,10705,0.058,0.008,6984,0.005
472,77,9,2.445,0.342,0.056,0.007,89534,9584,0.065,0.007,7870,0.006
693,109,32,2.947,0.502,0.079,0.023,101068,11534,0.073,0.008,9036,0.007
354,114,5,3.204,0.257,0.083,0.004,114015,12947,0.083,0.009,10403,0.008
773,149,35,3.764,0.56,0.108,0.025,127919,13904,0.093,0.01,11906,0.009
540,166,17,4.155,0.391,0.12,0.012,144910,16991,0.105,0.012,13851,0.01
678,199,33,4.646,0.491,0.144,0.024,161330,16420,0.117,0.012,13155,0.01
1035,239,40,5.396,0.75,0.173,0.029,179374,18044,0.13,0.013,14203,0.01
909,273,34,6.055,0.659,0.198,0.025,195748,16374,0.142,0.012,15173,0.011
796,308,35,6.632,0.577,0.223,0.025,217554,21806,0.158,0.016,16641,0.012
1211,339,31,7.509,0.878,0.246,0.022,244893,27339,0.177,0.02,18697,0.014
1075,377,38,8.288,0.779,0.273,0.028,274599,29706,0.199,0.022,20954,0.015
942,414,37,8.971,0.683,0.3,0.027,302956,28357,0.22,0.021,22578,0.016
1007,437,23,9.701,0.73,0.317,0.017,335123,32167,0.243,0.023,24828,0.018
991,480,43,10.419,0.718,0.348,0.031,372123,37000,0.27,0.027,27536,0.02
1334,507,27,11.385,0.967,0.367,0.02,401586,29463,0.291,0.021,29405,0.021
1553,543,36,12.511,1.125,0.393,0.026,,,,,30650,0.022
1335,590,47,13.478,0.967,0.428,0.034,462621,,0.335,,31104,0.023
1384,640,50,14.481,1.003,0.464,0.036,,,,,29569,0.021
1409,681,41,15.502,1.021,0.493,0.03,500542,,0.363,,28227,0.02
1684,718,37,16.722,1.22,0.52,0.027,541789,41247,0.393,0.03,29524,0.021
1429,775,57,17.758,1.036,0.562,0.041,579957,38168,0.42,0.028,29691,0.022
1990,824,49,19.2,1.442,0.597,0.036,625309,45352,0.453,0.033,31960,0.023
1396,872,48,20.212,1.012,0.632,0.035,665819,40510,0.482,0.029,33388,0.024
1543,934,62,21.33,1.118,0.677,0.045,716733,50914,0.519,0.037,36302,0.026
1897,1007,73,22.704,1.375,0.73,0.053,770764,54031,0.559,0.039,41312,0.03
1718,1074,67,23.949,1.245,0.778,0.049,830201,59437,0.602,0.043,47094,0.034
1993,1147,73,25.393,1.444,0.831,0.053,902654,72453,0.654,0.053,51552,0.037
2293,1218,71,27.055,1.662,0.883,0.051,976363,73709,0.708,0.053,56629,0.041
2644,1301,83,28.971,1.916,0.943,0.06,1046450,70087,0.758,0.051,60163,0.044
2553,1373,72,30.821,1.85,0.995,0.052,1107233,60783,0.802,0.044,63059,0.046
3900,1568,195,33.647,2.826,1.136,0.141,1191946,84713,0.864,0.061,67888,0.049
2958,1694,126,35.79,2.143,1.228,0.091,1276781,84835,0.925,0.061,72288,0.052
3561,1783,89,38.371,2.58,1.292,0.064,1357413,80632,0.984,0.058,75316,0.055
3390,1886,103,40.827,2.457,1.367,0.075,1437788,80375,1.042,0.058,76448,0.055
